participantId,assists,champLevel,combatPlayerScore,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,doubleKills,firstBloodAssist,firstBloodKill,firstInhibitorAssist,firstInhibitorKill,firstTowerAssist,firstTowerKill,goldEarned,goldSpent,item0,item1,item2,item3,item4,item5,item6,killingSprees,kills,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicalDamageTaken,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,totalDamageDealt,totalDamageDealtToChampions,totalDamageTaken,totalHeal,totalMinionsKilled,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,championId,highestAchievedSeasonTier,spell1Id,spell2Id,win,teamId,creepsPerMinDeltas,csDiffPerMinDeltas,damageTakenDiffPerMinDeltas,damageTakenPerMinDeltas,goldPerMinDeltas,lane,role,xpDiffPerMinDeltas,xpPerMinDeltas,gameId
1,18,17,0,27402,3409,63772,5,0,false,true,false,false,false,false,13693,13000,3194,3193,1413,3742,0,3047,3364,1,6,1143,55089,3558,18071,116,19,49,103910,11698,26702,171042,16692,47592,10796,75,12040,1435,2819,59,CHALLENGER,11,4,true,100,2.1 1.3 2.5 3.2,1.9000000000000001 -1.4 1.5 0,-152.10000000000005 537 1121.8 -136.60000000000014,466 1244.8000000000002 1729.1 1704.8,316.9 436.8 352.6 325.6,JUNGLE,NONE,139.9 -61.69999999999999 -92.19999999999999 -194.99999999999994,423.9 495.1 460 407.8,1477135099
2,4,16,0,22441,4663,10896,6,0,false,false,false,false,false,false,14954,12650,3102,3115,3124,0,1058,3006,3363,2,5,514,75783,7337,6210,56,16,24,126211,6350,13570,204198,14054,20744,2615,236,2204,365,963,145,DIAMOND,7,4,true,100,6.8 7.3 5.8 7.2,,,377.5 677.5 850.5999999999999 210.6,240 429.6 470.4 371.8,BOTTOM,DUO_CARRY,,284.20000000000005 420.1 502.8 564.2,1477135099
3,8,18,0,7745,5752,25157,3,3,false,false,false,false,false,false,16902,15658,3139,3074,3143,3047,3078,0,3363,3,12,927,3242,1431,10657,15,4,4,200655,8608,18374,212081,12252,30555,8190,272,8184,2212,1523,114,MASTER,4,12,true,100,5.1 9.2 8.6 7.4,-0.7000000000000002 2.6 1.5000000000000004 -2.5999999999999996,69.69999999999999 -19.099999999999994 286.6 730.6,571.0999999999999 579.4 954.4 1163,299.1 503.3 466.9 462.6,TOP,SOLO,4.500000000000057 98.5 -23.799999999999983 -258.79999999999995,416 589.7 553.1 467.6,1477135099
4,18,14,0,2487,1978,8738,6,0,false,false,false,false,false,false,8856,7825,3504,3047,2055,3098,3174,3801,3364,0,0,836,17184,7660,5365,0,0,0,3298,722,11134,21451,9350,16639,14392,23,968,968,140,267,DIAMOND,4,14,true,100,0.7 0.5 0.6 0.8,,,264.6 486.6 706.6 344.2,148.7 283.6 246.2 189,BOTTOM,DUO_SUPPORT,,282.3 370.8 255.39999999999998 407.8,1477135099
5,11,18,0,9563,5026,11185,3,2,false,false,false,false,false,false,17120,15900,3157,3020,1026,3027,3285,3089,3364,1,9,1287,266512,37000,13732,20,4,16,12691,762,12047,280159,38667,26405,10142,330,954,904,626,127,CHALLENGER,14,4,true,100,8.4 11.2 7.6 9.8,,,324 349.6 1086.4 1224.4,301.2 597.2 473 362.4,MIDDLE,SOLO,,473 710.7 434.4 591.8,1477135099
6,5,17,0,15847,0,21627,5,2,false,false,true,false,false,false,13568,13300,3026,3065,0,1412,3071,3047,3364,2,7,823,7606,131,14949,127,19,92,147100,13044,15557,165849,14182,32101,14494,55,11142,1006,1594,141,CHALLENGER,11,4,false,200,0.2 2.7 1 3.2,-1.9000000000000001 1.4 -1.5 0,152.10000000000005 -537 -1121.8 136.60000000000014,618.1 707.8 607.3 1841.4,230 373 465.8 445.4,JUNGLE,NONE,-139.9 61.69999999999999 92.19999999999999 194.99999999999994,284 556.8 552.2 602.8,1477135099
7,7,18,0,9457,2773,11320,7,0,false,false,true,false,false,true,14365,14350,3142,3814,3033,3147,3117,2055,3340,1,6,576,29263,4310,10293,8,0,4,165059,19871,10667,194321,24181,22329,776,246,0,0,1367,126,CHALLENGER,12,4,false,200,5.8 6.6 7.1 10,0.7000000000000002 -2.6 -1.5000000000000004 2.5999999999999996,-69.69999999999999 19.099999999999994 -286.6 -730.6,501.4 598.5 667.8 432.4,259.8 469.4 427.1 439.2,TOP,SOLO,-4.500000000000057 -98.5 23.799999999999983 258.79999999999995,411.5 491.2 576.9 726.4,1477135099
8,16,15,0,2434,1913,5367,6,0,false,false,true,false,true,false,9664,9425,3504,3107,3092,2055,3117,3114,3364,0,0,805,19527,5171,10127,0,0,0,7486,1183,4009,29167,7758,14684,1822,24,2153,1403,547,117,CHALLENGER,14,4,false,200,0.6 1.1 0.4 0.4,,,160.4 370.5 583 295.4,181.8 265.29999999999995 308 295.8,MIDDLE,DUO_SUPPORT,,290.5 315.9 488.1 566.8,1477135099
9,7,17,0,9205,6582,13134,6,0,false,false,false,true,true,false,15919,15525,3022,3006,3085,3124,3140,3153,3363,1,8,809,82725,17581,10703,30,0,27,131857,16375,8620,229577,37391,20709,2666,236,14995,3434,1385,96,CHALLENGER,7,4,false,200,7.7 6.3 7.5 4,,,174 547.2 600.8 806.4,277.9 362.2 691.2 400,BOTTOM,SOLO,,311.5 370.1 766.6 455.8,1477135099
10,8,18,0,5688,1579,15942,8,0,false,false,false,false,false,false,12639,12475,2033,3198,3100,1058,3165,3020,3364,0,2,679,188752,23974,13927,4,0,4,12518,122,9432,203464,24325,24350,4779,273,2194,228,990,112,CHALLENGER,4,1,false,200,6.699999999999999 7.9 8.5 7.8,,,368.3 681.5999999999999 812.1 573,251.70000000000002 341.3 394.4 427.8,MIDDLE,DUO_CARRY,,410.8 444.09999999999997 723.1 705,1477146052
1,7,16,0,759,759,20082,4,0,false,false,false,false,false,false,11795,11275,3158,3157,3089,3135,2055,3113,3340,0,3,962,169892,20110,6425,0,0,0,11736,972,18927,183404,21217,28356,27026,256,1775,135,3003,8,DIAMOND,12,4,false,100,7.6 7.4 10.2,-0.8000000000000003 -2.2999999999999994 4,58.30000000000001 -63.69999999999993 -182.59999999999997,341.9 865.1 1182.6,252.79999999999998 355 497.1,TOP,SOLO,8.799999999999983 -120.39999999999998 -38.39999999999998,452.20000000000005 512.9000000000001 612.4000000000001,1477146052
2,7,15,0,3150,69,10431,6,0,false,false,false,false,false,false,11371,11375,3095,3094,3031,3123,3009,0,3340,1,5,685,8754,2312,2219,0,0,0,135086,19831,14448,150226,23299,19274,2908,205,6386,1154,2606,202,UNRANKED,7,4,false,100,5.9 7.3 7.2,-1.4500000000000002 -0.6500000000000004 -0.7,-3.4499999999999744 -287.6000000000001 5.7999999999999545,299.1 476.2 816,257.5 380.5 435.6,BOTTOM,DUO_CARRY,-41.400000000000006 -63.29999999999998 -31.649999999999977,287.8 455.3 620.2,1477146052
