itemId,afterId,beforeId,participantId,wardType,timestamp,type,gameId
1039,,,6,,4134,ITEM_PURCHASED,1477135099
2031,,,6,,4365,ITEM_PURCHASED,1477135099
3340,,,6,,4596,ITEM_PURCHASED,1477135099
1041,,,1,,6741,ITEM_PURCHASED,1477135099
2031,,,1,,7005,ITEM_PURCHASED,1477135099
3340,,,1,,7434,ITEM_PURCHASED,1477135099
,3340,0,2,,7764,ITEM_PURCHASED,1477135099
,0,2031,6,,7764,ITEM_UNDO,1477135099
2003,,,2,,7896,ITEM_UNDO,1477135099
1054,,,9,,8028,ITEM_PURCHASED,1477135099
1054,,,2,,8127,ITEM_PURCHASED,1477135099
,0,1039,6,,8226,ITEM_PURCHASED,1477135099
2003,,,9,,8292,ITEM_UNDO,1477135099
3340,,,9,,9183,ITEM_PURCHASED,1477135099
1056,,,5,,9612,ITEM_PURCHASED,1477135099
3303,,,8,,11130,ITEM_PURCHASED,1477135099
2003,,,5,,11559,ITEM_PURCHASED,1477135099
1039,,,6,,11592,ITEM_PURCHASED,1477135099
2003,,,5,,11658,ITEM_PURCHASED,1477135099
2003,,,8,,11724,ITEM_PURCHASED,1477135099
2031,,,6,,11823,ITEM_PURCHASED,1477135099
2003,,,8,,11856,ITEM_PURCHASED,1477135099
3340,,,6,,11988,ITEM_PURCHASED,1477135099
3340,,,5,,12054,ITEM_PURCHASED,1477135099
3340,,,8,,12187,ITEM_PURCHASED,1477135099
2033,,,10,,12385,ITEM_PURCHASED,1477135099
3340,,,10,,13078,ITEM_PURCHASED,1477135099
2033,,,7,,13870,ITEM_PURCHASED,1477135099
3340,,,7,,16510,ITEM_PURCHASED,1477135099
2033,,,3,,17005,ITEM_PURCHASED,1477135099
3340,,,3,,20899,ITEM_PURCHASED,1477135099
3303,,,4,,21922,ITEM_PURCHASED,1477135099
2003,,,4,,25618,ITEM_PURCHASED,1477135099
2003,,,4,,25882,ITEM_PURCHASED,1477135099
3340,,,4,,26080,ITEM_PURCHASED,1477135099
,,,,,26344,ITEM_PURCHASED,1477135099
3340,,,6,YELLOW_TRINKET,34133,WARD_PLACED,1477135099
,,,,,44891,ITEM_DESTROYED,1477135099
3520,,,6,UNDEFINED,45254,WARD_PLACED,1477135099
3340,,,6,,47795,ITEM_DESTROYED,1477135099
3520,,,6,,48554,ITEM_DESTROYED,1477135099
3340,,,6,YELLOW_TRINKET,50336,WARD_PLACED,1477135099
3520,,,6,,51227,ITEM_DESTROYED,1477135099
,,,,,51524,ITEM_DESTROYED,1477135099
3340,,,6,,70767,ITEM_DESTROYED,1477135099
3520,,,6,,90667,ITEM_DESTROYED,1477135099
,,,,YELLOW_TRINKET,110104,WARD_PLACED,1477135099
2003,,,8,,136438,ITEM_DESTROYED,1477135099
,,,4,,137692,ITEM_DESTROYED,1477135099
,,,,YELLOW_TRINKET,138715,WARD_PLACED,1477135099
2003,,,2,YELLOW_TRINKET,141686,WARD_PLACED,1477135099
2003,,,9,,154028,ITEM_DESTROYED,1477135099
,,,,,155513,ITEM_DESTROYED,1477135099
2010,,,7,,183366,ITEM_DESTROYED,1477135099
3340,,,7,,185610,ITEM_DESTROYED,1477135099
3520,,,7,,186963,ITEM_DESTROYED,1477135099
2003,,,8,YELLOW_TRINKET,187161,WARD_PLACED,1477135099
,,,,,189834,ITEM_DESTROYED,1477135099
2010,,,10,YELLOW_TRINKET,199900,WARD_PLACED,1477135099
2003,,,5,,201188,ITEM_DESTROYED,1477135099
,,,,,201452,ITEM_DESTROYED,1477135099
,,,,YELLOW_TRINKET,203465,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,207392,WARD_PLACED,1477135099
3715,,,6,YELLOW_TRINKET,207788,WARD_PLACED,1477135099
1039,,,6,,219800,ITEM_PURCHASED,1477135099
2003,,,4,,221945,ITEM_DESTROYED,1477135099
1054,,,3,,224520,ITEM_PURCHASED,1477135099
1055,,,7,,226071,ITEM_PURCHASED,1477135099
1039,,,1,,230031,ITEM_PURCHASED,1477135099
2003,,,5,,230790,ITEM_DESTROYED,1477135099
2055,,,1,,231186,ITEM_PURCHASED,1477135099
,,,,YELLOW_TRINKET,243693,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,246696,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,251349,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,258810,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,269405,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,288348,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,294519,WARD_PLACED,1477135099
,,,,,295146,CHAMPION_KILL,1477135099
2055,,,1,CONTROL_WARD,297753,WARD_PLACED,1477135099
,,,,,,ITEM_DESTROYED,1477135099
,,,,UNDEFINED,301184,WARD_PLACED,1477135099
3340,,,6,YELLOW_TRINKET,301250,WARD_KILL,1477135099
,,,,,302867,ITEM_DESTROYED,1477135099
3520,,,6,UNDEFINED,302867,WARD_PLACED,1477135099
3098,,,4,,308115,ITEM_DESTROYED,1477135099
3303,,,4,,308115,ITEM_PURCHASED,1477135099
2003,,,4,,311621,ITEM_DESTROYED,1477135099
1082,,,10,,312380,ITEM_PURCHASED,1477135099
1001,,,10,YELLOW_TRINKET,312413,WARD_PLACED,1477135099
2003,,,4,,313931,ITEM_PURCHASED,1477135099
1052,,,10,,315647,ITEM_PURCHASED,1477135099
2010,,,3,,316869,ITEM_PURCHASED,1477135099
3010,,,5,,320103,ITEM_DESTROYED,1477135099
1001,,,5,,326969,ITEM_PURCHASED,1477135099
2003,,,5,,328222,ITEM_PURCHASED,1477135099
,,,,,336341,ITEM_PURCHASED,1477135099
1037,,,2,,337001,CHAMPION_KILL,1477135099
3340,,,6,,340301,ITEM_PURCHASED,1477135099
,,,,,340598,ITEM_DESTROYED,1477135099
3520,,,6,UNDEFINED,341126,WARD_PLACED,1477135099
2031,,,2,,341852,ITEM_DESTROYED,1477135099
1036,,,7,,343271,ITEM_PURCHASED,1477135099
2055,,,6,,348320,ITEM_PURCHASED,1477135099
,,,,,349574,ITEM_PURCHASED,1477135099
3098,,,8,,363434,ITEM_PURCHASED,1477135099
3303,,,8,,363434,ITEM_DESTROYED,1477135099
2055,,,8,,364986,ITEM_PURCHASED,1477135099
2031,,,8,,365580,ITEM_PURCHASED,1477135099
1004,,,8,,366075,ITEM_PURCHASED,1477135099
3715,,,1,,367131,ITEM_PURCHASED,1477135099
1039,,,1,,367131,ITEM_DESTROYED,1477135099
1041,,,1,,367131,ITEM_DESTROYED,1477135099
3006,,,9,,368220,ITEM_PURCHASED,1477135099
1028,,,1,,369375,ITEM_PURCHASED,1477135099
1001,,,1,,369771,ITEM_PURCHASED,1477135099
2031,,,9,,370002,ITEM_PURCHASED,1477135099
3340,,,6,,370167,ITEM_DESTROYED,1477135099
2055,,,1,,370233,ITEM_PURCHASED,1477135099
3520,,,6,,370365,ITEM_DESTROYED,1477135099
3047,,,3,,388713,ITEM_PURCHASED,1477135099
2003,,,5,,403069,ITEM_DESTROYED,1477135099
,,,,YELLOW_TRINKET,407755,WARD_PLACED,1477135099
2055,,,8,CONTROL_WARD,408283,WARD_PLACED,1477135099
1001,,,7,,419536,ITEM_DESTROYED,1477135099
,,,,,,ITEM_PURCHASED,1477135099
2055,,,7,,422181,ITEM_PURCHASED,1477135099
,,,,UNDEFINED,427164,WARD_PLACED,1477135099
,,,,CONTROL_WARD,438747,WARD_KILL,1477135099
2055,,,6,CONTROL_WARD,438747,WARD_PLACED,1477135099
2003,,,4,,439176,ITEM_DESTROYED,1477135099
2055,,,1,CONTROL_WARD,441420,WARD_PLACED,1477135099
2010,,,10,,453447,ITEM_DESTROYED,1477135099
,,,,,455460,CHAMPION_KILL,1477135099
1001,,,2,,460674,CHAMPION_KILL,1477135099
1042,,,2,,472158,ITEM_PURCHASED,1477135099
,,,,,472488,ITEM_PURCHASED,1477135099
,,,,YELLOW_TRINKET,476548,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,482852,WARD_PLACED,1477135099
3133,,,6,YELLOW_TRINKET,485657,WARD_PLACED,1477135099
1036,,,6,,489056,ITEM_PURCHASED,1477135099
,,,,,491894,ITEM_DESTROYED,1477135099
1026,,,5,YELLOW_TRINKET,499616,WARD_PLACED,1477135099
2055,,,5,,500606,ITEM_PURCHASED,1477135099
2003,,,5,,500705,ITEM_PURCHASED,1477135099
1043,,,9,,501035,ITEM_PURCHASED,1477135099
1001,,,8,,501827,ITEM_PURCHASED,1477135099
,,,,UNDEFINED,502454,WARD_PLACED,1477135099
1004,,,8,CONTROL_WARD,502652,WARD_KILL,1477135099
2055,,,8,,502982,ITEM_PURCHASED,1477135099
2055,,,8,YELLOW_TRINKET,503147,WARD_PLACED,1477135099
2010,,,7,,503708,ITEM_PURCHASED,1477135099
3340,,,6,,507207,ITEM_DESTROYED,1477135099
,,,,,525687,ITEM_DESTROYED,1477135099
3520,,,6,UNDEFINED,525918,WARD_PLACED,1477135099
,,,,,532850,ITEM_DESTROYED,1477135099
,,,,YELLOW_TRINKET,533312,WARD_PLACED,1477135099
3196,,,10,,536843,ELITE_MONSTER_KILL,1477135099
3200,,,10,,536843,ITEM_PURCHASED,1477135099
,,,,,538493,ITEM_DESTROYED,1477135099
2055,,,8,CONTROL_WARD,538493,WARD_PLACED,1477135099
,,,,,538724,ITEM_DESTROYED,1477135099
,,,,UNDEFINED,,WARD_KILL,1477135099
1052,,,4,YELLOW_TRINKET,542321,WARD_PLACED,1477135099
1004,,,4,,543938,ITEM_PURCHASED,1477135099
1004,,,4,,545423,ITEM_PURCHASED,1477135099
2055,,,4,,545555,ITEM_PURCHASED,1477135099
1413,,,1,,546941,ITEM_PURCHASED,1477135099
1028,,,1,,547601,ITEM_PURCHASED,1477135099
3715,,,1,,547601,ITEM_DESTROYED,1477135099
2055,,,1,,548261,ITEM_PURCHASED,1477135099
3340,,,6,,548525,ITEM_PURCHASED,1477135099
3520,,,6,,549449,ITEM_DESTROYED,1477135099
,,,,,553112,ITEM_DESTROYED,1477135099
2010,,,7,UNDEFINED,560703,WARD_PLACED,1477135099
,,,,,562419,ITEM_DESTROYED,1477135099
,,,,,566082,CHAMPION_KILL,1477135099
,,,,,566676,CHAMPION_KILL,1477135099
,,,,YELLOW_TRINKET,568755,WARD_PLACED,1477135099
3077,,,3,,569184,CHAMPION_KILL,1477135099
,,,,,573969,ITEM_PURCHASED,1477135099
2055,,,4,CONTROL_WARD,580998,WARD_PLACED,1477135099
1001,,,6,,583968,ITEM_DESTROYED,1477135099
,,,,,584001,ITEM_PURCHASED,1477135099
2055,,,5,CONTROL_WARD,584001,WARD_PLACED,1477135099
3134,,,7,,584133,ITEM_DESTROYED,1477135099
1036,,,7,,584133,ITEM_PURCHASED,1477135099
,,,,,585684,ITEM_DESTROYED,1477135099
2055,,,3,YELLOW_TRINKET,589942,WARD_KILL,1477135099
1036,,,7,,592615,ITEM_PURCHASED,1477135099
,,,,CONTROL_WARD,593374,WARD_KILL,1477135099
2055,,,1,CONTROL_WARD,596608,WARD_PLACED,1477135099
,,,,,599413,ITEM_DESTROYED,1477135099
,,,,YELLOW_TRINKET,,WARD_PLACED,1477135099
2003,,,4,,604762,BUILDING_KILL,1477135099
,,,,,606907,ITEM_DESTROYED,1477135099
,,,,SIGHT_WARD,612720,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,615790,WARD_KILL,1477135099
,,,,CONTROL_WARD,618264,WARD_KILL,1477135099
3340,,,7,YELLOW_TRINKET,618495,WARD_PLACED,1477135099
3520,,,7,,619155,ITEM_DESTROYED,1477135099
2010,,,10,,619650,ITEM_DESTROYED,1477135099
,,,,,619683,ITEM_DESTROYED,1477135099
2055,,,7,CONTROL_WARD,621729,WARD_PLACED,1477135099
1053,,,9,,622455,ITEM_DESTROYED,1477135099
,,,,,625890,ITEM_PURCHASED,1477135099
3114,,,8,,626979,ELITE_MONSTER_KILL,1477135099
1004,,,8,,626979,ITEM_PURCHASED,1477135099
1004,,,8,,626979,ITEM_DESTROYED,1477135099
3364,,,8,,628068,ITEM_PURCHASED,1477135099
3340,,,8,,628068,ITEM_DESTROYED,1477135099
2055,,,1,,628134,ITEM_DESTROYED,1477135099
2003,,,8,,629058,ITEM_PURCHASED,1477135099
,,,5,,641440,ITEM_DESTROYED,1477135099
,,,,,642722,CHAMPION_KILL,1477135099
3513,,,1,,646287,CHAMPION_KILL,1477135099
,,,,,647871,ITEM_DESTROYED,1477135099
2055,,,8,CONTROL_WARD,656484,WARD_PLACED,1477135099
,,,,,658200,ITEM_DESTROYED,1477135099
,,,,,,BUILDING_KILL,1477135099
3117,,,7,SIGHT_WARD,660547,WARD_PLACED,1477135099
1001,,,7,,665596,ITEM_PURCHASED,1477135099
,,,,,667741,ITEM_DESTROYED,1477135099
2055,,,7,YELLOW_TRINKET,668269,WARD_PLACED,1477135099
,,,,,672594,ITEM_PURCHASED,1477135099
,,,,YELLOW_TRINKET,683088,WARD_PLACED,1477135099
2055,,,1,CONTROL_WARD,685596,WARD_PLACED,1477135099
,,,,,685860,ITEM_DESTROYED,1477135099
1043,,,2,YELLOW_TRINKET,693285,WARD_KILL,1477135099
1042,,,2,,693285,ITEM_PURCHASED,1477135099
3006,,,2,,694077,ITEM_DESTROYED,1477135099
1001,,,2,,694077,ITEM_PURCHASED,1477135099
3114,,,4,,696057,ITEM_DESTROYED,1477135099
1004,,,4,,696057,ITEM_PURCHASED,1477135099
1004,,,4,,696057,ITEM_DESTROYED,1477135099
2055,,,2,,696255,ITEM_PURCHASED,1477135099
2003,,,4,,697344,ITEM_PURCHASED,1477135099
3047,,,1,,697575,ITEM_PURCHASED,1477135099
1001,,,1,,701535,ITEM_PURCHASED,1477135099
1028,,,1,,703383,ITEM_DESTROYED,1477135099
2031,,,1,,704901,ITEM_PURCHASED,1477135099
2055,,,1,,704934,ITEM_SOLD,1477135099
3364,,,1,,706287,ITEM_PURCHASED,1477135099
3340,,,1,,706287,ITEM_DESTROYED,1477135099
2055,,,3,CONTROL_WARD,709392,WARD_PLACED,1477135099
3027,,,5,,709656,ITEM_DESTROYED,1477135099
3010,,,5,,709656,ITEM_PURCHASED,1477135099
1026,,,5,,709656,ITEM_DESTROYED,1477135099
3020,,,5,,710877,ITEM_PURCHASED,1477135099
1001,,,5,,710877,ITEM_DESTROYED,1477135099
2055,,,5,,711339,ITEM_PURCHASED,1477135099
3364,,,5,SIGHT_WARD,712626,WARD_KILL,1477135099
3340,,,5,,713286,ITEM_PURCHASED,1477135099
3363,,,5,,713550,ITEM_DESTROYED,1477135099
3364,,,5,,713550,ITEM_PURCHASED,1477135099
,,,,,714276,ITEM_DESTROYED,1477135099
,,,,YELLOW_TRINKET,715299,WARD_PLACED,1477135099
3364,,,5,CONTROL_WARD,715959,WARD_KILL,1477135099
3363,,,5,,715959,ITEM_PURCHASED,1477135099
,,,,,716058,ITEM_DESTROYED,1477135099
,,,,SIGHT_WARD,716124,WARD_PLACED,1477135099
,,,,YELLOW_TRINKET,,,1477135099
2010,,,3,,725965,ITEM_SOLD,1477135099
1053,,,3,,728936,ITEM_PURCHASED,1477135099
,,,,YELLOW_TRINKET,731543,WARD_PLACED,1477135099
2055,,,7,CONTROL_WARD,738638,WARD_PLACED,1477135099
2003,,,4,,742432,ITEM_DESTROYED,1477135099
3020,,,10,,743950,ITEM_PURCHASED,1477135099
1001,,,10,,743950,ITEM_DESTROYED,1477135099
3340,,,6,,744049,ITEM_DESTROYED,1477135099
3520,,,6,UNDEFINED,744148,WARD_PLACED,1477135099
,,,,,744577,ITEM_DESTROYED,1477135099
2055,,,5,CONTROL_WARD,744577,WARD_PLACED,1477135099
,,,,,745699,ITEM_DESTROYED,1477135099
3340,,,7,YELLOW_TRINKET,746953,WARD_PLACED,1477135099
,,,,,747217,ITEM_DESTROYED,1477135099
3520,,,7,UNDEFINED,747217,WARD_PLACED,1477135099
,,,,,747415,ITEM_DESTROYED,1477135099
3340,,,6,YELLOW_TRINKET,748801,WARD_PLACED,1477135099
3340,,,7,,751705,ITEM_DESTROYED,1477135099
2003,,,4,,753883,ITEM_DESTROYED,1477135099
3520,,,7,,757253,ITEM_DESTROYED,1477135099
3340,,,6,,757880,ITEM_DESTROYED,1477135099
,,,,,770981,ITEM_DESTROYED,1477135099
2055,,,1,CONTROL_WARD,773458,WARD_PLACED,1477135099
,,,,,775702,ITEM_DESTROYED,1477135099
3520,,,6,SIGHT_WARD,776230,WARD_PLACED,1477135099
3340,,,6,,777583,ITEM_DESTROYED,1477135099
,,,,UNDEFINED,777616,WARD_PLACED,1477135099
,,,,CONTROL_WARD,777715,WARD_KILL,1477135099
2055,,,2,CONTROL_WARD,777715,WARD_PLACED,1477135099
,,,,,,ITEM_DESTROYED,1477135099
,,,,YELLOW_TRINKET,780486,WARD_KILL,1477135099
3520,,,6,SIGHT_WARD,783192,WARD_KILL,1477135099
,,,,,787420,ITEM_DESTROYED,1477135099
,,,,YELLOW_TRINKET,789301,WARD_PLACED,1477135099
2055,,,8,CONTROL_WARD,791149,WARD_PLACED,1477135099
2010,,,7,,793129,ITEM_DESTROYED,1477135099
2010,,,10,CONTROL_WARD,799729,WARD_KILL,1477135099
3340,,,6,,800158,ITEM_DESTROYED,1477135099
,,,,,802664,ITEM_DESTROYED,1477135099
,,,,,805738,CHAMPION_KILL,1477135099
,,,,,809071,CHAMPION_KILL,1477135099
3520,,,6,,811546,BUILDING_KILL,1477135099
,,,,,812602,ITEM_DESTROYED,1477135099
3144,,,9,YELLOW_TRINKET,815972,WARD_PLACED,1477135099
1053,,,9,,822209,ITEM_PURCHASED,1477135099
3117,,,8,,824618,ITEM_DESTROYED,1477135099
1001,,,8,,824618,ITEM_PURCHASED,1477135099
2055,,,8,,825080,ITEM_DESTROYED,1477135099
3340,,,7,,830395,ITEM_PURCHASED,1477135099
3340,,,6,,830659,ITEM_DESTROYED,1477135099
3520,,,6,,830692,ITEM_DESTROYED,1477135099
,,,7,,830758,ITEM_DESTROYED,1477135099
,,,,UNDEFINED,834751,WARD_PLACED,1477135099
,,,,,836665,CHAMPION_KILL,1477135099
,,,,,837693,CHAMPION_KILL,1477135099
,,,,,839970,CHAMPION_KILL,1477135099
3340,,,7,,843403,CHAMPION_KILL,1477135099
,,,,,844393,ITEM_DESTROYED,1477135099
3124,,,2,UNDEFINED,846010,WARD_PLACED,1477135099
3520,,,7,,846010,ITEM_PURCHASED,1477135099
1043,,,2,,846010,ITEM_DESTROYED,1477135099
1037,,,2,,846010,ITEM_DESTROYED,1477135099
1412,,,6,,847231,ITEM_PURCHASED,1477135099
3133,,,6,,847231,ITEM_DESTROYED,1477135099
3715,,,6,,847231,ITEM_DESTROYED,1477135099
3113,,,4,,854827,CHAMPION_KILL,1477135099
1052,,,4,,857962,ITEM_PURCHASED,1477135099
3197,,,10,,858919,ITEM_DESTROYED,1477135099
3196,,,10,,858919,ITEM_PURCHASED,1477135099
3142,,,7,,860107,ITEM_DESTROYED,1477135099
