currentGold,jungleMinionsKilled,level,minionsKilled,participantId,teamScore,totalGold,xp,timestamp,gameId
500,0,1,0,1,0,500,0,,1477135099
500,0,1,0,10,0,500,0,,1477135099
500,0,1,0,2,0,500,0,,1477135099
500,0,1,0,3,0,500,0,,1477135099
500,0,1,0,4,0,500,0,,1477135099
500,0,1,0,5,0,500,0,,1477135099
500,0,1,0,6,0,500,0,,1477135099
500,0,1,0,7,0,500,0,,1477135099
500,0,1,0,8,0,500,0,,1477135099
500,0,1,0,9,0,500,0,,1477135099
,,,,,,,,0,1477135099
0,0,1,0,1,0,500,0,,1477135099
0,0,1,0,10,0,500,0,,1477135099
0,0,1,0,2,0,500,0,,1477135099
0,0,1,0,3,0,500,0,,1477135099
0,0,1,0,4,0,500,0,,1477135099
0,0,1,0,5,0,500,0,,1477135099
0,0,1,0,6,0,500,0,,1477135099
0,0,1,0,7,0,500,0,,1477135099
0,0,1,0,8,0,500,0,,1477135099
0,0,1,0,9,0,500,0,,1477135099
,,,,,,,,60006,1477135099
121,4,2,0,1,0,621,336,,1477135099
112,0,1,5,10,0,612,235,,1477135099
84,0,1,3,2,0,584,89,,1477135099
56,0,1,2,3,0,556,88,,1477135099
53,0,1,0,4,0,553,89,,1477135099
126,0,1,6,5,0,626,264,,1477135099
221,8,2,0,6,0,721,450,,1477135099
84,0,1,3,7,0,584,176,,1477135099
53,0,1,0,8,0,553,76,,1477135099
42,0,1,1,9,0,542,135,,1477135099
,,,,,,,,120038,1477135099
383,12,3,0,1,0,883,723,,1477135099
476,0,3,16,10,0,976,798,,1477135099
360,0,2,12,2,0,860,454,,1477135099
297,0,2,8,3,0,797,559,,1477135099
217,0,2,0,4,0,717,454,,1477135099
504,0,3,18,5,0,1004,856,,1477135099
455,12,3,0,6,0,955,769,,1477135099
339,0,2,11,7,0,839,537,,1477135099
227,0,2,0,8,0,727,441,,1477135099
332,0,2,11,9,0,832,500,,1477135099
,,,,,,,,180066,1477135099
181,16,3,0,1,0,1106,908,,1477135099
760,0,4,26,10,0,1260,1416,,1477135099
669,0,3,20,2,0,1169,821,,1477135099
121,0,3,15,3,0,1071,964,,1477135099
362,0,3,0,4,0,862,821,,1477135099
788,0,4,27,5,0,1288,1327,,1477135099
68,15,3,0,6,0,1218,1022,,1477135099
32,0,2,11,7,0,982,610,,1477135099
423,0,3,1,8,0,923,866,,1477135099
690,0,3,22,9,0,1190,925,,1477135099
,,,,,,,,240096,1477135099
823,20,4,0,1,0,1748,1281,,1477135099
1064,0,5,34,10,0,1564,2009,,1477135099
994,0,4,29,2,0,1494,1284,,1477135099
432,0,4,23,3,0,1382,1439,,1477135099
516,0,4,0,4,0,1016,1284,,1477135099
1292,0,5,34,5,0,1792,1948,,1477135099
462,23,4,0,6,0,1612,1469,,1477135099
392,0,4,23,7,0,1342,1526,,1477135099
608,0,4,1,8,0,1108,1291,,1477135099
1078,0,4,35,9,0,1578,1350,,1477135099
,,,,,,,,300128,1477135099
1278,24,5,4,1,0,2203,2031,,1477135099
238,0,5,39,10,0,1823,2277,,1477135099
106,0,4,30,2,0,1631,1362,,1477135099
991,0,5,28,3,0,1941,2133,,1477135099
120,0,4,1,4,0,1170,1421,,1477135099
49,0,5,39,5,0,1999,2200,,1477135099
181,23,4,1,6,0,1756,1520,,1477135099
228,0,5,27,7,0,1528,1850,,1477135099
799,0,4,3,8,0,1299,1671,,1477135099
1393,0,5,44,9,0,1893,1730,,1477135099
,,,,,,,,360134,1477135099
425,28,5,4,1,0,2425,2298,,1477135099
607,4,6,47,10,0,2192,2945,,1477135099
452,0,5,43,2,0,1977,1727,,1477135099
125,0,6,34,3,0,2175,2545,,1477135099
389,0,5,3,4,0,1439,1996,,1477135099
447,0,6,52,5,0,2397,2910,,1477135099
515,31,5,1,6,0,2090,1910,,1477135099
169,0,6,34,7,0,1769,2439,,1477135099
174,0,5,3,8,0,1474,1748,,1477135099
307,0,5,46,9,0,2057,1806,,1477135099
,,,,,,,,420135,1477135099
975,32,6,5,1,0,2975,2893,,1477135099
882,4,7,53,10,0,2467,3332,,1477135099
150,0,5,49,2,0,2275,1946,,1477135099
540,0,7,48,3,0,2590,3226,,1477135099
584,0,5,4,4,0,1634,2332,,1477135099
868,0,7,61,5,0,2818,3638,,1477135099
744,35,5,2,6,0,2319,2310,,1477135099
397,0,6,42,7,0,2072,3031,,1477135099
557,0,5,4,8,0,1857,2384,,1477135099
1002,0,6,63,9,0,2752,2535,,1477135099
,,,,,,,,480146,1477135099
1257,40,7,6,1,0,3257,3243,,1477135099
32,4,7,60,10,0,2767,3718,,1477135099
478,0,6,58,2,0,2603,2459,,1477135099
719,0,7,51,3,0,2769,3550,,1477135099
753,0,6,6,4,0,1803,2646,,1477135099
255,0,8,72,5,0,3180,4201,,1477135099
117,35,5,2,6,0,2442,2369,,1477135099
767,0,7,53,7,0,2442,3683,,1477135099
157,0,6,5,8,0,2032,2423,,1477135099
125,0,6,63,9,0,2875,2632,,1477135099
,,,,,,,,540176,1477135099
419,40,8,21,1,0,3669,4239,,1477135099
282,4,8,67,10,0,3017,4108,,1477135099
775,0,6,68,2,0,2900,2842,,1477135099
166,0,8,51,3,0,3491,4160,,1477135099
177,0,6,7,4,0,1987,2823,,1477135099
587,0,8,84,5,0,3512,4730,,1477135099
175,39,6,2,6,0,2800,2840,,1477135099
323,0,8,58,7,0,3098,4115,,1477135099
443,0,6,6,8,0,2318,2905,,1477135099
529,0,6,77,9,0,3279,3115,,1477135099
,,,,,,,,600205,1477135099
963,46,8,21,1,0,4213,4844,,1477135099
698,4,8,78,10,0,3433,4730,,1477135099
1387,0,7,75,2,0,3512,3414,,1477135099
582,0,8,61,3,0,3907,4694,,1477135099
572,0,7,7,4,0,2382,3453,,1477135099
1393,0,9,97,5,0,4318,5596,,1477135099
616,47,7,5,6,0,3241,3635,,1477135099
742,0,8,62,7,0,3517,4382,,1477135099
216,0,6,7,8,0,2716,3084,,1477135099
137,0,7,83,9,0,3787,3435,,1477135099
,,,,,,,,660217,1477135099
82,52,9,22,1,0,4547,5425,,1477135099
1003,4,9,85,10,0,3738,5087,,1477135099
95,0,7,84,2,0,3795,3683,,1477135099
853,0,8,69,3,0,4178,5025,,1477135099
56,0,7,7,4,0,2516,3722,,1477135099
158,0,10,109,5,0,4708,6126,,1477135099
908,51,8,10,6,0,3533,4334,,1477135099
393,0,8,71,7,0,3843,4945,,1477135099
374,0,7,9,8,0,2874,3461,,1477135099
422,0,7,92,9,0,4072,3812,,1477135099
,,,,,,,,720218,1477135099
546,64,10,23,1,0,5011,6163,,1477135099
535,4,9,97,10,0,4070,5617,,1477135099
512,0,8,98,2,0,4212,4268,,1477135099
393,0,9,82,3,0,4588,5765,,1477135099
191,0,8,7,4,0,2651,4068,,1477135099
490,0,10,121,5,0,5040,6656,,1477135099
1190,55,8,10,6,0,3815,4909,,1477135099
670,0,9,80,7,0,4120,5374,,1477135099
629,0,7,9,8,0,3129,3711,,1477135099
643,0,8,97,9,0,4293,4120,,1477135099
,,,,,,,,780222,1477135099
1334,64,10,25,1,0,5799,6731,,1477135099
1144,4,10,105,10,0,4679,6330,,1477135099
1437,0,8,107,2,0,5137,4920,,1477135099
1129,0,10,93,3,0,5324,6524,,1477135099
873,0,8,10,4,0,3333,4771,,1477135099
954,0,11,134,5,0,5504,7370,,1477135099
1483,55,9,10,6,0,4108,5277,,1477135099
1428,0,10,87,7,0,4878,6231,,1477135099
128,0,7,9,8,0,3303,3769,,1477135099
265,2,8,97,9,0,4515,4331,,1477135099
,,,,,,,,840235,1477135099
158,68,11,25,1,0,6218,7315,,1477135099
357,4,10,111,10,0,4892,6687,,1477135099
134,0,8,107,2,0,5259,4920,,1477135099
81,0,10,93,3,0,6046,6927,,1477135099
643,0,8,10,4,0,3518,4953,,1477135099
39,0,11,143,5,0,5964,8105,,1477135099
205,55,9,10,6,0,4230,5277,,1477135099
128,0,10,89,7,0,5028,6290,,1477135099
363,0,8,12,8,0,3539,4205,,1477135099
611,2,8,106,9,0,4861,4812,,1477135099
,,,,,,,,900240,1477135099
598,72,11,29,1,0,6658,7816,,1477135099
698,4,10,120,10,0,5233,7124,,1477135099
967,4,9,126,2,0,6092,5896,,1477135099
822,0,11,107,3,0,6787,8007,,1477135099
990,0,9,10,4,0,3866,5223,,1477135099
928,0,12,153,5,0,6853,8836,,1477135099
256,63,9,11,6,0,4631,5832,,1477135099
371,0,10,94,7,0,5271,6521,,1477135099
753,0,8,12,8,0,3928,4532,,1477135099
1119,2,9,118,9,0,5369,5139,,1477135099
,,,,,,,,960266,1477135099
1040,72,11,29,1,0,7100,7978,,1477135099
1096,4,11,132,10,0,5631,7687,,1477135099
50,4,9,126,2,0,6215,6024,,1477135099
1283,0,12,123,3,0,7248,8835,,1477135099
30,0,9,10,4,0,4155,5429,,1477135099
1408,4,12,164,5,0,7333,9670,,1477135099
506,67,10,13,6,0,4881,6268,,1477135099
849,0,11,102,7,0,5749,7387,,1477135099
512,0,8,14,8,0,4122,4593,,1477135099
241,2,9,118,9,0,5791,5415,,1477135099
,,,,,,,,1020272,1477135099
78,76,11,29,1,0,7418,8437,,1477135099
389,4,11,133,10,0,5774,7746,,1477135099
381,4,10,134,2,0,6546,6501,,1477135099
671,3,12,130,3,0,7656,9411,,1477135099
164,0,9,10,4,0,4289,5943,,1477135099
85,4,13,169,5,0,7825,10123,,1477135099
45,72,10,22,6,0,5320,7097,,1477135099
405,4,11,103,7,0,6005,7635,,1477135099
647,0,8,14,8,0,4257,5005,,1477135099
622,2,9,129,9,0,6172,5803,,1477135099
,,,,,,,,1080273,1477135099
475,80,12,34,1,0,7815,9190,,1477135099
810,4,11,142,10,0,6195,8343,,1477135099
808,8,10,141,2,0,6973,7043,,1477135099
1198,3,12,136,3,0,8183,9836,,1477135099
449,0,10,11,4,0,4574,6321,,1477135099
726,8,13,189,5,0,8466,11220,,1477135099
808,72,11,22,6,0,6083,7520,,1477135099
563,4,12,116,7,0,6563,8584,,1477135099
351,0,9,14,8,0,4526,5471,,1477135099
409,2,9,137,9,0,6434,6116,,1477135099
,,,,,,,,1140274,1477135099
47,80,12,34,1,0,8037,9190,,1477135099
195,4,11,146,10,0,6430,8549,,1477135099
81,8,10,141,2,0,7196,7043,,1477135099
690,3,13,143,3,0,8524,10057,,1477135099
123,0,10,12,4,0,4823,6531,,1477135099
1744,8,14,196,5,0,9484,11837,,1477135099
455,74,11,29,6,0,6530,8408,,1477135099
692,4,12,124,7,0,7792,9027,,1477135099
146,0,9,17,8,0,4971,6064,,1477135099
876,6,10,140,9,0,6901,6816,,1477135099
,,,,,,,,1200277,1477135099
592,84,12,36,1,0,8582,9919,,1477135099
744,4,13,154,10,0,6979,10109,,1477135099
752,8,11,142,2,0,7867,7596,,1477135099
1235,7,13,154,3,0,9070,11111,,1477135099
493,0,10,15,4,0,5193,7105,,1477135099
2522,8,14,199,5,0,10262,12169,,1477135099
1006,79,12,33,6,0,7081,9743,,1477135099
1219,4,12,130,7,0,8319,9812,,1477135099
655,0,10,18,8,0,5480,6860,,1477135099
515,8,11,140,9,0,7385,7449,,1477135099
,,,,,,,,1260293,1477135099
392,84,13,41,1,0,8982,10113,,1477135099
1132,4,13,160,10,0,7367,10899,,1477135099
145,12,11,146,2,0,8335,7912,,1477135099
561,7,14,171,3,0,9649,11880,,1477135099
7,0,10,15,4,0,5608,7241,,1477135099
80,8,14,201,5,0,10619,12334,,1477135099
203,79,12,33,6,0,7303,9743,,1477135099
798,4,13,132,7,0,8948,10255,,1477135099
563,0,10,19,8,0,5864,7120,,1477135099
1858,10,12,146,9,0,8728,8709,,1477135099
,,,,,,,,1320308,1477135099
838,84,13,44,1,0,9428,10550,,1477135099
639,4,14,178,10,0,7939,11810,,1477135099
901,12,11,160,2,0,9090,8526,,1477135099
1444,11,14,172,3,0,10532,12169,,1477135099
242,0,10,15,4,0,5992,7241,,1477135099
968,8,15,224,5,0,11508,13313,,1477135099
32,87,13,33,6,0,7807,10247,,1477135099
1254,4,13,138,7,0,9404,10553,,1477135099
148,0,10,19,8,0,6198,7120,,1477135099
575,18,12,146,9,0,9320,9297,,1477135099
,,,,,,,,1380313,1477135099
1317,89,14,51,1,0,9907,11504,,1477135099
127,4,14,179,10,0,8152,11902,,1477135099
666,16,12,167,2,0,9706,9229,,1477135099
386,11,14,177,3,0,10874,12768,,1477135099
442,0,11,15,4,0,6192,7705,,1477135099
285,12,15,231,5,0,11925,13851,,1477135099
267,91,13,33,6,0,8042,10487,,1477135099
668,4,13,141,7,0,9568,10721,,1477135099
207,0,11,19,8,0,6332,7702,,1477135099
1080,18,12,160,9,0,9825,9775,,1477135099
,,,,,,,,1440331,1477135099
355,92,14,51,1,0,10269,11951,,1477135099
477,4,14,184,10,0,8502,12614,,1477135099
571,20,12,170,2,0,10061,9773,,1477135099
955,11,15,195,3,0,11442,13629,,1477135099
126,0,11,15,4,0,6327,8068,,1477135099
750,12,15,243,5,0,12540,14480,,1477135099
722,91,13,34,6,0,8572,10912,,1477135099
999,4,13,149,7,0,9899,11417,,1477135099
317,0,11,19,8,0,6582,8304,,1477135099
450,18,13,160,9,0,10285,10337,,1477135099
,,,,,,,,1500342,1477135099
169,94,14,54,1,0,10484,12196,,1477135099
44,4,15,194,10,0,8918,13393,,1477135099
1084,24,13,181,2,0,10574,10713,,1477135099
127,11,15,195,3,0,11915,13903,,1477135099
141,0,11,16,4,0,6491,8222,,1477135099
114,12,16,245,5,0,12704,14749,,1477135099
374,95,14,34,6,0,9614,11481,,1477135099
1121,4,13,149,7,0,10021,11417,,1477135099
566,0,12,20,8,0,6801,8646,,1477135099
904,22,13,167,9,0,10738,11323,,1477135099
,,,,,,,,1560367,1477135099
699,108,15,54,1,0,11014,13266,,1477135099
215,4,15,197,10,0,9090,13599,,1477135099
1338,24,13,184,2,0,10828,10980,,1477135099
494,11,15,205,3,0,12281,14360,,1477135099
305,0,12,17,4,0,6655,8599,,1477135099
516,12,16,257,5,0,13105,15209,,1477135099
668,99,14,36,6,0,9908,11781,,1477135099
1454,4,14,162,7,0,10353,12252,,1477135099
150,0,12,20,8,0,6936,8872,,1477135099
1311,22,14,175,9,0,11146,11707,,1477135099
,,,,,,,,1620374,1477135099
109,108,15,59,1,0,11223,13450,,1477135099
631,4,15,210,10,0,9506,14166,,1477135099
1571,28,13,185,2,0,11061,11185,,1477135099
930,11,16,219,3,0,12717,15006,,1477135099
491,0,12,18,4,0,6841,8681,,1477135099
38,12,16,270,5,0,13528,15831,,1477135099
812,99,14,37,6,0,10052,12068,,1477135099
49,4,14,172,7,0,10644,12659,,1477135099
90,0,12,21,8,0,7100,9226,,1477135099
859,22,14,192,9,0,11693,12445,,1477135099
,,,,,,,,1680378,1477135099
101,108,15,59,1,0,11441,13661,,1477135099
1098,4,16,219,10,0,9972,15087,,1477135099
98,28,13,185,2,0,11183,11185,,1477135099
1205,11,16,224,3,0,12993,15304,,1477135099
30,0,12,18,4,0,7130,8911,,1477135099
502,12,16,272,5,0,13992,16000,,1477135099
1400,99,14,39,6,0,10640,12806,,1477135099
729,4,15,184,7,0,11324,14028,,1477135099
234,0,13,21,8,0,7645,10364,,1477135099
554,22,15,201,9,0,12889,13467,,1477135099
,,,,,,,,1740382,1477135099
224,108,15,59,1,0,11563,13790,,1477135099
694,4,16,231,10,0,10374,15780,,1477135099
816,36,14,199,2,0,11900,12071,,1477135099
106,11,16,229,3,0,13193,15588,,1477135099
184,0,12,18,4,0,7285,9085,,1477135099
725,16,16,272,5,0,14214,16181,,1477135099
824,115,15,39,6,0,11188,13930,,1477135099
968,4,16,195,7,0,12063,14796,,1477135099
641,0,13,21,8,0,8051,10945,,1477135099
1478,26,15,215,9,0,13813,14482,,1477135099
,,,,,,,,1800397,1477135099
437,108,15,60,1,0,11776,14074,,1477135099
1352,4,17,236,10,0,11031,17209,,1477135099
38,36,14,199,2,0,12023,12279,,1477135099
78,11,16,229,3,0,14066,15871,,1477135099
369,0,12,18,4,0,7469,9347,,1477135099
39,16,16,275,5,0,14429,16436,,1477135099
2018,115,16,43,6,0,12383,15375,,1477135099
1638,8,16,204,7,0,12732,16313,,1477135099
84,0,14,22,8,0,8594,12440,,1477135099
956,26,16,215,9,0,14310,15428,,1477135099
,,,,,,,,1860416,1477135099
614,112,15,61,1,0,11954,14339,,1477135099
550,4,17,249,10,0,11530,17898,,1477135099
1335,36,15,217,2,0,12494,13111,,1477135099
501,11,17,242,3,0,14488,16493,,1477135099
553,0,12,19,4,0,7653,9684,,1477135099
492,16,17,290,5,0,14881,17170,,1477135099
155,115,16,44,6,0,12520,15409,,1477135099
648,8,16,208,7,0,12917,16468,,1477135099
269,0,14,22,8,0,8779,12573,,1477135099
1150,26,16,219,9,0,14505,15629,,1477135099
,,,,,,,,1920439,1477135099
1106,116,16,69,1,0,12445,15194,,1477135099
749,4,17,254,10,0,11729,18141,,1477135099
314,40,15,218,2,0,12723,13463,,1477135099
833,11,17,254,3,0,14820,17115,,1477135099
213,0,12,19,4,0,7788,9742,,1477135099
1019,16,17,309,5,0,15408,18149,,1477135099
520,123,16,45,6,0,12884,15990,,1477135099
1091,8,17,222,7,0,13361,17161,,1477135099
403,0,14,22,8,0,8913,12728,,1477135099
1535,30,16,223,9,0,14889,15938,,1477135099
,,,,,,,,1980445,1477135099
1562,116,16,70,1,0,12902,15596,,1477135099
1263,4,18,260,10,0,12242,18767,,1477135099
901,40,15,235,2,0,13311,14292,,1477135099
1284,11,17,266,3,0,15272,17737,,1477135099
242,0,13,20,4,0,8067,10669,,1477135099
1414,16,18,321,5,0,15804,18960,,1477135099
775,123,17,49,6,0,13140,16611,,1477135099
1430,8,17,231,7,0,13699,17719,,1477135099
785,0,15,22,8,0,9295,13411,,1477135099
262,30,17,229,9,0,15517,16492,,1477135099
,,,,,,,,2040450,1477135099
252,116,16,75,1,0,13191,15829,,1477135099
283,4,18,270,10,0,12513,19305,,1477135099
1350,52,16,235,2,0,13759,14892,,1477135099
319,15,17,266,3,0,15506,17926,,1477135099
404,0,13,22,4,0,8230,11124,,1477135099
287,20,18,321,5,0,16026,19140,,1477135099
176,125,17,55,6,0,13415,16944,,1477135099
490,8,18,245,7,0,14259,18428,,1477135099
195,0,15,23,8,0,9530,13779,,1477135099
559,30,17,235,9,0,15813,16761,,1477135099
,,,,,,,,2100461,1477135099
693,116,17,75,1,,13693,17086,,1477135099
164,4,18,273,10,,12639,19391,,1477135099
2304,56,16,236,2,,14954,15638,,1477135099
1244,15,18,272,3,,16902,19315,,1477135099
1031,0,14,23,4,,8856,12969,,1477135099
1220,20,18,330,5,,17120,20347,,1477135099
268,127,17,55,6,,13568,17102,,1477135099
15,8,18,246,7,,14365,18514,,1477135099
239,0,15,24,8,,9664,13866,,1477135099
394,30,17,236,9,,15919,16848,,1477135099
,,,,,,,,2160461,1477146052
500,0,1,0,1,0,500,0,,1477146052
500,0,1,0,10,0,500,0,,1477146052
500,0,1,0,2,0,500,0,,1477146052
500,0,1,0,3,0,500,0,,1477146052
500,0,1,0,4,0,500,0,,1477146052
500,0,1,0,5,0,500,0,,1477146052
500,0,1,0,6,0,500,0,,1477146052
500,0,1,0,7,0,500,0,,1477146052
500,0,1,0,8,0,500,0,,1477146052
500,0,1,0,9,0,500,0,,1477146052
,,,,,,,,0,1477146052
50,0,1,0,1,0,500,0,,1477146052
0,0,1,0,10,0,500,0,,1477146052
0,0,1,0,2,0,500,0,,1477146052
0,0,1,0,3,0,500,0,,1477146052
0,0,1,0,4,0,500,0,,1477146052
0,0,1,0,5,0,500,0,,1477146052
0,0,1,0,6,0,500,0,,1477146052
0,0,1,0,7,0,500,0,,1477146052
0,0,1,0,8,0,500,0,,1477146052
0,0,1,0,9,0,500,0,,1477146052
,,,,,,,,60010,1477146052
113,0,1,2,1,0,563,176,,1477146052
98,0,1,4,10,0,598,134,,1477146052
84,0,1,3,2,0,584,134,,1477146052
121,4,2,0,3,0,621,285,,1477146052
53,0,1,0,4,0,553,134,,1477146052
